cityName,cityCode
阿克苏,AKU
阿勒泰,AAT
安康,AKA
安庆,AQG
安顺,AVA
澳门,MFM
巴厘岛,DPS
百色,AEB
包头,BAV
保山,BSD
北海,BHY
北京,BJS
昌都,BPX
常德,CGD
常州,CZX
朝阳,CHG
潮州,SWA
成都,CTU
赤峰,CIF
达县,DAX
大阪,OSA
大理,DLU
大连,DLC
大庆,DQA
大同,DAT
丹东,DDG
稻城,DCY
迪拜,DXB
东京,TYO
东营,DOY
敦煌,DNH
鄂尔多斯,DSN
恩施,ENH
福州,FOC
阜阳,FUG
格尔木,GOQ
固原,GYU
广元,GYS
广州,CAN
贵阳,KWE
桂林,KWL
哈尔滨,HRB
哈密,HMI
海口,HAK
海拉尔,HLD
邯郸,HDG
汉中,HZG
杭州,HGH
合肥,HFE
和田,HTN
黑河,HEK
呼和浩特,HET
胡志明市,SGN
黄山,TXN
吉隆坡,KUL
济南,TNA
济宁,JNG
佳木斯,JMU
嘉峪关,JGN
揭阳,SWA
金边,PNH
锦州,JNZ
晋江,JJN
井冈山,JGS
景德镇,JDZ
九江,JIU
九寨沟,JZH
旧金山,SFO
喀什,KHG
康定,KGT
克拉玛依,KRY
库车,KCA
库尔勒,KRL
昆明,KMG
拉萨,LXA
兰州,LHW
黎平,HZH
丽江,LJG
连城,LCX
连云港,LYG
林芝,LZY
临沧,LNJ
临沂,LYI
柳州,LZH
泸州,LZO
洛杉矶,LAX
洛阳,LYA
马尼拉,MNL
满洲里,NZH
曼谷,BKK
芒市,LUM
梅县,MXZ
绵阳,MIG
漠河,OHE
牡丹江,MDG
那拉提,NLT
南昌,KHN
南充,NAO
南京,NKG
南宁,NNG
南通,NTG
南阳,NNY
宁波,NGB
纽约,NYC
攀枝花,PZI
普吉岛,HKT
齐齐哈尔,NDG
秦皇岛,SHP
青岛,TAO
庆阳,IQN
衢州,JUZ
三亚,SYX
厦门,XMN
汕头,SWA
上海,SHA
深圳,SZX
沈阳,SHE
石家庄,SJW
思茅,SYM
塔城,TCG
台北,TPE
台州,HYN
太原,TYN
腾冲,TCZ
天津,TSN
通辽,TGO
铜仁,TEN
万州,WXN
威海,WEH
潍坊,WEF
温州,WNZ
文山,WNH
乌海,WUA
乌兰浩特,HLH
乌鲁木齐,URC
无锡,WUX
梧州,WUZ
武汉,WUH
武夷山,WUS
西安,SIA
西昌,XIC
西宁,XNN
西双版纳,JHG
锡林浩特,XIL
香港,HKG
襄樊,XFN
新加坡,SIN
兴义,ACX
徐州,XUZ
雅加达,JKT
烟台,YNT
延安,ENY
延吉,YNJ
盐城,YNZ
伊宁,YIN
宜宾,YBP
宜昌,YIH
义乌,YIW
银川,INC
永州,LLF
榆林,UYN
玉树,YUS
运城,YCU
湛江,ZHA
张家界,DYG
长白山,NBS
长春,CGQ
长沙,CSX
长治,CIH
昭通,ZAT
郑州,CGO
芷江,HJJ
中卫,ZHY
重庆,CKG
舟山,HSN
珠海,ZUH
